Barrile Angelo
Bigler Hans-Ulrich
Kutter Philipp
Siegenthaler Heinz
Paganini Nicolo
Töngi Michael
Molina Fabian
Bendahan Samuel
Egger Thomas
Crottaz Brigitte
Roduit Benjamin
Schneider Schüttel Ursula
Brunner Hansjörg
Cattaneo Rocco
Gugger Niklaus-Samuel
Gutjahr Diana
Kälin Irène
Glauser-Zufferey Alice
Trede Aline
Wasserfallen Flavia
Wüthrich Adrian
Addor Jean-Luc
Aebi Andreas
Aebischer Matthias
Aeschi Thomas
Amaudruz Céline
Amherd Viola
Ammann Thomas
Amstutz Adrian
Arnold Beat
Arslan Sibel
Badran Jacqueline
Barazzone Guillaume
Bauer Philippe
Bäumle Martin
Béglé Claude
Bertschy Kathrin
Birrer-Heimo Prisca
Borloz Frédéric
Bourgeois Jacques
Brand Heinz
Brélaz Daniel
Brunner Toni
Büchel Roland Rino
Buffat Michaël
Bühler Manfred
Bulliard-Marbach Christine
Burgherr Thomas
Burkart Thierry
Campell Duri
Candinas Martin
Carobbio Guscetti Marina
Chevalley Isabelle
Chiesa Marco
Clottu Raymond
de Buman Dominique
de Courten Thomas
de la Reussille Denis
Derder Fathi
Dettling Marcel
Dobler Marcel
Egloff Hans
Eichenberger-Walther Corina
Estermann Yvette
Eymann Christoph
Fässler Daniel
Fehlmann Rielle Laurence
Feller Olivier
Feri Yvonne
Fiala Doris
Flach Beat
Flückiger-Bäni Sylvia
Fluri Kurt
Frehner Sebastian
Fridez Pierre-Alain
Friedl Claudia
Galladé Chantal
Geissbühler Andrea Martina
Genecand Benoît
Giezendanner Ulrich
Girod Bastien
Glanzmann-Hunkeler Ida
Glarner Andreas
Glättli Balthasar
Gmür Alois
Gmür-Schönenberger Andrea
Golay Roger
Gössi Petra
Graf Maya
Graf-Litscher Edith
Grin Jean-Pierre
Grossen Jürg
Grunder Hans
Grüter Franz
Gschwind Jean-Paul
Guhl Bernhard
Gysi Barbara
Hadorn Philipp
Hardegger Thomas
Hausammann Markus
Heer Alfred
Heim Bea
Herzog Verena
Hess Lorenz
Hess Erich
Hiltpold Hugues
Humbel Ruth
Hurter Thomas
Imark Christian
Jans Beat
Jauslin Matthias Samuel
Keller Peter
Keller-Inhelder Barbara
Kiener Nellen Margret
Knecht Hansjörg
Köppel Roger
Landolt Martin
Leutenegger Oberholzer Susanne
Lohr Christian
Lüscher Christian
Maire Jacques-André
Marchand-Balet Géraldine
Markwalder Christa
Marra Ada
Marti Min Li
Martullo-Blocher Magdalena
Masshardt Nadine
Matter Thomas
Mazzone Lisa
Merlini Giovanni
Meyer Mattea
Moret Isabelle
Moser Tiana Angelina
Müller Walter
Müller Thomas
Müller Leo
Müller-Altermatt Stefan
Munz Martina
Müri Felix
Naef Martin
Nantermod Philippe
Nicolet Jacques
Nidegger Yves
Nordmann Roger
Nussbaumer Eric
Page Pierre-André
Pantani Roberta
Pardini Corrado
Pezzatti Bruno
Pfister Gerhard
Pieren Nadja
Piller Carrard Valérie
Portmann Hans-Peter
Quadranti Rosmarie
Quadri Lorenzo
Regazzi Fabio
Reimann Maximilian
Reimann Lukas
Reynard Mathias
Rickli Natalie
Riklin Kathy
Rime Jean-François
Ritter Markus
Romano Marco
Rösti Albert
Ruiz Rebecca Ana
Ruppen Franz
Rutz Gregor
Rytz Regula
Salzmann Werner
Sauter Regine
Schenker Silvia
Schilliger Peter
Schneeberger Daniela
Schneider-Schneiter Elisabeth
Schwander Pirmin
Seiler Graf Priska
Semadeni Silva
Sollberger Sandra
Sommaruga Carlo
Stahl Jürg
Stamm Luzi
Steinemann Barbara
Streiff-Feller Marianne
Thorens Goumaz Adèle
Tornare Manuel
Tuena Mauro
Vitali Albert
Vogler Karl
Vogt Hans-Ueli
von Siebenthal Erich
Walliser Bruno
Walti Beat
Wasserfallen Christian
Wehrli Laurent
Weibel Thomas
Wermuth Cédric
Wobmann Walter
Zanetti Claudio
Zuberbühler David
